iso3,year,gdp_pc_const2015,population,n_loans,total_loan_amount,kiva_active,log_gdp_pc,log_population,c_log_gdp_pc,c_log_gdp_pc_sq,institutional_pca1,institutional_index,financial_access_index
BLZ,2017,5767.61921963762,373202.0,8.0,4200.0,1,8.660014660772736,12.829875106997772,-0.10606682412980817,0.011250171180983657,0.0401767239526889,-0.0374139013347947,0.1591864686325823
BMU,2013,107860.394791964,63574.0,0.0,0.0,0,11.588593029110404,11.05995986071321,2.8225115442078597,7.966571417186636,,,
BMU,2014,103941.982606956,63529.0,0.0,0.0,0,11.551588162913477,11.0592517735417,2.7855066780109325,7.759047453243501,,,
BMU,2015,104855.366822135,63464.0,0.0,0.0,0,11.560337220734333,11.058228094981839,2.794255735831788,7.807865117228848,,,
BMU,2016,104190.876720334,63449.0,0.0,0.0,0,11.553979849001156,11.057991712577044,2.787898364098611,7.772377288543711,,,
BMU,2017,107734.608357327,63578.0,0.0,0.0,0,11.587426151890876,11.060022777537188,2.821344666988331,7.959985729943496,,,
BOL,2013,2793.51457124054,10682608.0,3032.0,5461050.0,1,7.935055785008936,16.184127556442192,-0.8310256998936083,0.6906037138836615,-0.5676760706634482,-0.542056601234785,0.9704799525757932
BOL,2014,2900.90241571477,10848888.0,2636.0,5000425.0,1,7.972777145401465,16.199573144219176,-0.7933043395010797,0.6293317750712444,-0.5676760706634482,-0.542056601234785,0.9704799525757932
BOL,2015,2996.01289811344,11014705.0,2979.0,6874750.0,1,8.005037649739139,16.214741756198574,-0.7610438351634059,0.5791877190402254,-0.5676760706634482,-0.542056601234785,0.9704799525757932
BOL,2016,3077.57057582774,11180020.0,2488.0,5801325.0,1,8.031895790639762,16.229638814598392,-0.7341856942627825,0.5390286336601239,-0.5676760706634482,-0.542056601234785,0.9704799525757932
BOL,2017,3160.16421247588,11344587.0,1930.0,5036550.0,1,8.058379271204153,16.244251271831377,-0.7077022136983917,0.5008424232736041,-0.5676760706634482,-0.542056601234785,0.9704799525757932
BRA,2013,9366.73932434359,198478299.0,10.0,13650.0,1,9.144920323671,19.106190327178084,0.3788388387684556,0.1435188657594319,0.0994668940036019,0.130527015487773,0.4866610864791008
BRA,2014,9338.34278278114,200085127.0,50.0,66550.0,1,9.141884083229511,19.11425346895543,0.37580259832696683,0.14122759290929957,0.0994668940036019,0.130527015487773,0.4866610864791008
BRA,2015,8936.19661712113,201675532.0,39.0,52300.0,1,9.097865343318206,19.12217068669136,0.3317838584156618,0.11008052870518394,0.0994668940036019,0.130527015487773,0.4866610864791008
BRA,2016,8577.84376650911,203218114.0,97.0,277625.0,1,9.05693785163387,19.129790413396325,0.290856366731326,0.08459742606814759,0.0994668940036019,0.130527015487773,0.4866610864791008
BRA,2017,8628.25308908043,204703445.0,286.0,782200.0,1,9.062797340537387,19.1370728799965,0.29671585563484193,0.08804029898511635,0.0994668940036019,0.130527015487773,0.4866610864791008
BRB,2013,20521.1209928514,277665.0,0.0,0.0,0,9.929209927073838,12.534170630061896,1.1631284421712937,1.3528677729878207,,,
BRB,2014,20636.0327188055,278348.0,0.0,0.0,0,9.934793987884,12.53662740838735,1.168712502981455,1.3658889146251771,,,
BRB,2015,20429.4747123553,278990.0,0.0,0.0,0,9.924733975897922,12.538931217867246,1.1586524909953777,1.3424755948897937,,,
BRB,2016,20673.7682337375,279598.0,0.0,0.0,0,9.936620940546945,12.541108136240386,1.1705394556444002,1.3701626172202888,,,
BRB,2017,20766.5518491129,280171.0,0.0,0.0,0,9.941098887156977,12.543155410027023,1.1750174022544329,1.3806658956007556,,,
BRN,2013,32381.0739795231,411202.0,0.0,0.0,0,10.385329394671794,12.926839856924493,1.6192479097692498,2.6219637932920845,,,
