country_code,year,n_loans,total_loan_amount,log_total_loan_amount,log_gdp_pc,population,log_population,institutional_pca1,institutional_index,financial_access_index,poverty_rate
IL,2015,53,188300.0,12.145791714645243,10.497176325354271,8321570.0,15.9343614969185,1.2372312052602563,1.3019607473768533,0.9388956074296428,0.5
IL,2016,43,168450.0,12.0343942488347,10.521204792703394,8321570.0,15.9343614969185,1.2372312052602563,1.3019607473768533,0.9388956074296428,0.5
IL,2017,29,94975.0,11.461368978055827,10.544368574025672,8321570.0,15.9343614969185,1.2372312052602563,1.3019607473768533,0.9388956074296428,0.7
IN,2013,107,88275.0,11.388212220796587,7.243837295212063,1339180127.0,21.015323418132986,0.2817792565981101,0.3286911331837746,-0.1927176543519101,
IN,2014,2743,2692200.0,14.80586926119213,7.302709613149857,1339180127.0,21.015323418132986,0.2817792565981101,0.3286911331837746,-0.1927176543519101,
IN,2015,2729,1695375.0,14.343414513265015,7.36770741017663,1339180127.0,21.015323418132986,0.2817792565981101,0.3286911331837746,-0.1927176543519101,
IN,2016,3529,1569550.0,14.2662995120361,7.435122542173672,1339180127.0,21.015323418132986,0.2817792565981101,0.3286911331837746,-0.1927176543519101,
IN,2017,2129,681825.0,13.432528305658169,7.4892430939286365,1339180127.0,21.015323418132986,0.2817792565981101,0.3286911331837746,-0.1927176543519101,
IQ,2013,17,43500.0,10.680516217076775,8.412904739864173,38274618.0,17.460297519053253,-1.984189887140256,-1.714931108790877,-0.6361569542973633,
IQ,2014,962,2546825.0,14.750358043316815,8.399979016206505,38274618.0,17.460297519053253,-1.984189887140256,-1.714931108790877,-0.6361569542973633,
IQ,2015,14,38725.0,10.56424066528507,8.398441612691235,38274618.0,17.460297519053253,-1.984189887140256,-1.714931108790877,-0.6361569542973633,
JO,2013,116,114550.0,11.648766687881642,8.424314505310521,9702353.0,16.08787899137608,0.6056704752714042,0.5825652389362322,-0.1275868065260665,
JO,2014,1343,1473700.0,14.203286803201355,8.362203196110489,9702353.0,16.08787899137608,0.6056704752714042,0.5825652389362322,-0.1275868065260665,
JO,2015,1084,1224175.0,14.017777705690829,8.304682109774202,9702353.0,16.08787899137608,0.6056704752714042,0.5825652389362322,-0.1275868065260665,
JO,2016,1065,1244350.0,14.034123863191953,8.27719515950577,9702353.0,16.08787899137608,0.6056704752714042,0.5825652389362322,-0.1275868065260665,
JO,2017,559,615375.0,13.3299871170605,8.27911415693202,9702353.0,16.08787899137608,0.6056704752714042,0.5825652389362322,-0.1275868065260665,
KE,2013,428,179725.0,12.099183183852073,7.254136420722831,49699862.0,17.721512714403044,-0.2898581318077513,-0.2093927329674495,-0.5856683858850739,
KE,2014,17611,8263400.0,15.927346683079982,7.279727980684497,49699862.0,17.721512714403044,-0.2898581318077513,-0.2093927329674495,-0.5856683858850739,
KE,2015,23559,10257725.0,16.143541638227294,7.305940350326721,49699862.0,17.721512714403044,-0.2898581318077513,-0.2093927329674495,-0.5856683858850739,37.7
KE,2016,20512,9629650.0,16.08035743835785,7.325134439126475,49699862.0,17.721512714403044,-0.2898581318077513,-0.2093927329674495,-0.5856683858850739,
KE,2017,13334,6113425.0,15.625997730559503,7.34105455720502,49699862.0,17.721512714403044,-0.2898581318077513,-0.2093927329674495,-0.5856683858850739,
KG,2013,26,36550.0,10.506436465177925,6.975212079410457,6045117.0,15.614761396682438,-0.1905952793088575,-0.2258522716711309,-0.1152716796034346,13.5
KG,2014,1642,2298075.0,14.647582373933979,6.992631341580298,6045117.0,15.614761396682438,-0.1905952793088575,-0.2258522716711309,-0.1152716796034346,8.1
