country_code,year,n_loans,total_loan_amount,gdp_pc_const2015,log_gdp_pc
MN,2013,61,92525.0,3628.907080695749,8.196686802227164
MN,2014,707,1207875.0,3830.3589204959285,8.25071379070713
MN,2015,196,344900.0,3838.921269899843,8.252946686819639
MR,2014,1,15000.0,1520.6462163490173,7.326890665827806
MW,2014,83,131975.0,539.562601918057,6.290758814885902
MW,2015,354,548700.0,539.605363240686,6.2908380635738395
MW,2016,533,471525.0,538.2219908109595,6.288271097381807
MW,2017,350,481125.0,544.7957292203486,6.300410915634878
MX,2013,9,17375.0,9738.710598036585,9.183864005741526
MX,2014,1038,1791050.0,9862.481254441987,9.19649306446203
MX,2015,1922,3644925.0,10021.238611882723,9.212461980959631
MX,2016,2147,3831175.0,10100.502121401492,9.220340416583849
MX,2017,625,426475.0,10193.77271934566,9.229532295119327
MZ,2014,593,445675.0,585.2667161339837,6.372067668344983
MZ,2015,997,664425.0,610.5637747065892,6.414382751168729
MZ,2016,1224,599500.0,620.7797149545554,6.430976292682048
MZ,2017,669,362275.0,618.3976943603338,6.427131768870941
NG,2014,3017,428875.0,2583.615569581399,7.856945080452824
NG,2015,2738,550025.0,2585.733606717974,7.857764540382058
NG,2016,3069,912075.0,2481.8149035032625,7.816745387441057
NG,2017,1312,314575.0,2441.712364044882,7.800454860691804
NI,2013,165,151500.0,1941.4562855262575,7.571193633093492
NI,2014,4758,3934700.0,2006.6486964653348,7.604221294344826
NI,2015,2877,2799000.0,2074.4562063473063,7.637454329088444
NI,2016,2442,2315225.0,2140.1440594160595,7.668628423234317
NI,2017,1539,1401525.0,2209.63273423213,7.700581597096402
NP,2013,4,1275.0,801.0390608478565,6.685909710982822
NP,2014,97,53800.0,846.6655417735989,6.741305742729731
NP,2015,209,101225.0,875.5436354748624,6.77484499111767
NP,2016,295,104775.0,875.188943730855,6.774439798739264
NP,2017,112,46550.0,951.8572985636408,6.858415127089003
PA,2014,5,30000.0,13611.54906560709,9.51867390736174
PA,2015,139,153050.0,14082.65484349964,9.552699166163746
